************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    20
engine_to_start      30
steps                502
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
algorithm compare
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
datafile  	time_cost                                                                                           	|ontime_proportion                                                                                   	|max_delay                                                                                           	|avg_delay                                                                                           	|avg_flowtime                                                                                        	|object_function_value                                                                               	|
          	RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|
0_13      	1119ms            	1089ms            	295573ms          	310777ms          	280456ms            	|0.760000          	0.840000          	0.920000          	0.900000          	0.920000            	|10                	6                 	10                	10                	7                   	|1.180000          	0.620000          	0.440000          	0.720000          	0.320000            	|22.220000         	23.580000         	22.040000         	22.360000         	22.820000           	|2140.666667       	1386.000000       	534.666667        	745.333333        	560.666667          	|
0_14      	1042ms            	1023ms            	320603ms          	334532ms          	277304ms            	|0.780000          	0.840000          	0.940000          	0.940000          	0.940000            	|13                	14                	12                	9                 	14                  	|1.480000          	1.060000          	0.380000          	0.320000          	0.760000            	|23.880000         	24.260000         	21.560000         	22.400000         	21.000000           	|1996.000000       	1408.666667       	318.666667        	346.666667        	300.000000          	|
0_15      	938ms             	841ms             	301594ms          	320337ms          	257611ms            	|0.780000          	0.760000          	0.920000          	0.920000          	0.920000            	|8                 	9                 	6                 	7                 	7                   	|1.120000          	0.860000          	0.360000          	0.420000          	0.380000            	|24.020000         	23.680000         	21.860000         	22.240000         	22.460000           	|2000.666667       	2189.333333       	528.666667        	541.333333        	548.666667          	|
0_16      	1052ms            	1063ms            	325771ms          	336426ms          	314966ms            	|0.760000          	0.720000          	0.880000          	0.860000          	0.840000            	|9                 	10                	7                 	8                 	8                   	|1.260000          	1.320000          	0.540000          	0.700000          	0.820000            	|22.660000         	23.520000         	22.220000         	22.060000         	22.200000           	|2155.333333       	2584.000000       	940.666667        	1135.333333       	1340.000000         	|
0_17      	1185ms            	1096ms            	318305ms          	331677ms          	296922ms            	|0.780000          	0.800000          	0.920000          	0.900000          	0.900000            	|8                 	7                 	7                 	8                 	5                   	|0.980000          	0.820000          	0.380000          	0.440000          	0.320000            	|22.500000         	23.340000         	22.160000         	21.480000         	21.460000           	|1950.000000       	1778.000000       	538.666667        	716.000000        	715.333333          	|
0_18      	1154ms            	962ms             	322863ms          	344179ms          	283022ms            	|0.760000          	0.760000          	0.920000          	0.880000          	0.900000            	|9                 	10                	7                 	8                 	6                   	|1.260000          	1.120000          	0.420000          	0.500000          	0.340000            	|24.420000         	25.400000         	22.720000         	22.640000         	23.460000           	|2214.000000       	2246.666667       	557.333333        	954.666667        	782.000000          	|
0_19      	1128ms            	1112ms            	288696ms          	283628ms          	319287ms            	|0.780000          	0.760000          	0.860000          	0.860000          	0.900000            	|12                	14                	16                	13                	14                  	|1.560000          	1.620000          	1.200000          	1.200000          	0.940000            	|20.720000         	21.640000         	20.920000         	20.820000         	20.780000           	|1890.666667       	2121.333333       	1097.333333       	1094.000000       	692.666667          	|
1_0       	1233ms            	1111ms            	341040ms          	355978ms          	320853ms            	|0.700000          	0.680000          	0.820000          	0.820000          	0.860000            	|18                	19                	18                	20                	17                  	|3.060000          	2.620000          	1.520000          	1.600000          	1.480000            	|27.500000         	28.440000         	25.720000         	26.600000         	26.720000           	|2916.666667       	3148.000000       	1657.333333       	1686.666667       	1290.666667         	|
1_1       	1421ms            	1142ms            	355807ms          	380963ms          	311064ms            	|0.700000          	0.680000          	0.820000          	0.820000          	0.800000            	|14                	16                	13                	14                	14                  	|1.940000          	2.420000          	1.380000          	1.320000          	1.380000            	|24.980000         	27.240000         	24.780000         	24.020000         	24.160000           	|2832.666667       	3108.000000       	1626.000000       	1600.666667       	1805.333333         	|
1_2       	1671ms            	1068ms            	319549ms          	342844ms          	280343ms            	|0.700000          	0.760000          	0.840000          	0.820000          	0.860000            	|18                	16                	15                	16                	16                  	|2.520000          	1.620000          	1.520000          	1.780000          	1.420000            	|27.640000         	28.260000         	26.500000         	26.220000         	25.480000           	|2921.333333       	2342.000000       	1483.333333       	1674.000000       	1249.333333         	|
1_3       	1412ms            	1004ms            	303043ms          	326425ms          	274414ms            	|0.660000          	0.660000          	0.780000          	0.800000          	0.800000            	|18                	17                	15                	15                	16                  	|3.420000          	2.360000          	1.800000          	1.480000          	1.620000            	|29.220000         	29.620000         	26.580000         	27.120000         	26.900000           	|3374.000000       	3387.333333       	2086.000000       	1904.000000       	1896.666667         	|
1_4       	1287ms            	1087ms            	335899ms          	344712ms          	308374ms            	|0.760000          	0.800000          	0.840000          	0.860000          	0.860000            	|14                	12                	10                	11                	10                  	|1.940000          	1.240000          	0.960000          	1.100000          	0.660000            	|26.680000         	26.780000         	24.840000         	25.900000         	24.840000           	|2289.333333       	1892.666667       	1428.000000       	1263.333333       	1228.000000         	|
1_5       	1144ms            	982ms             	346974ms          	368476ms          	280232ms            	|0.700000          	0.780000          	0.840000          	0.820000          	0.840000            	|16                	16                	16                	16                	17                  	|2.520000          	1.920000          	1.240000          	1.260000          	1.420000            	|27.720000         	28.040000         	27.220000         	26.340000         	25.060000           	|2924.000000       	2134.666667       	1507.333333       	1678.000000       	1435.333333         	|
1_6       	1104ms            	908ms             	338609ms          	358019ms          	299362ms            	|0.740000          	0.840000          	0.900000          	0.920000          	0.900000            	|13                	14                	9                 	12                	13                  	|1.640000          	1.360000          	0.560000          	0.660000          	1.040000            	|25.940000         	26.580000         	24.520000         	25.000000         	24.700000           	|2464.666667       	1486.000000       	817.333333        	633.333333        	823.333333          	|
1_7       	1197ms            	1065ms            	341088ms          	362725ms          	291470ms            	|0.620000          	0.700000          	0.820000          	0.800000          	0.820000            	|13                	16                	9                 	11                	13                  	|3.120000          	1.980000          	1.000000          	1.160000          	1.440000            	|28.920000         	29.540000         	26.880000         	27.500000         	26.780000           	|3764.000000       	2984.666667       	1696.000000       	1916.666667       	1692.666667         	|
1_8       	1189ms            	1125ms            	318930ms          	314650ms          	324767ms            	|0.760000          	0.780000          	0.900000          	0.880000          	0.920000            	|11                	8                 	7                 	7                 	8                   	|1.560000          	0.880000          	0.500000          	0.420000          	0.480000            	|23.720000         	23.940000         	21.360000         	21.880000         	22.960000           	|2190.666667       	1998.000000       	712.000000        	929.333333        	565.333333          	|
1_9       	1139ms            	1057ms            	336566ms          	343698ms          	302841ms            	|0.820000          	0.840000          	0.960000          	0.920000          	0.940000            	|12                	10                	8                 	9                 	10                  	|1.320000          	0.960000          	0.280000          	0.540000          	0.480000            	|24.920000         	24.600000         	23.700000         	23.320000         	24.280000           	|1630.666667       	1420.000000       	190.000000        	577.333333        	409.333333          	|
1_10      	1065ms            	1071ms            	340956ms          	356439ms          	294310ms            	|0.660000          	0.660000          	0.780000          	0.780000          	0.760000            	|13                	15                	13                	13                	12                  	|2.920000          	2.540000          	1.600000          	1.700000          	1.520000            	|27.660000         	28.180000         	25.760000         	27.080000         	26.460000           	|3322.000000       	3339.333333       	2058.666667       	2102.666667       	2282.000000         	|
1_11      	1059ms            	1117ms            	315083ms          	327508ms          	291356ms            	|0.760000          	0.720000          	0.860000          	0.860000          	0.860000            	|15                	17                	10                	15                	17                  	|1.980000          	2.200000          	0.840000          	1.340000          	1.260000            	|25.640000         	26.340000         	23.980000         	24.740000         	24.900000           	|2254.666667       	2678.000000       	1199.333333       	1224.666667       	1230.000000         	|
1_12      	1193ms            	1189ms            	339227ms          	335066ms          	325900ms            	|0.780000          	0.780000          	0.920000          	0.920000          	0.920000            	|17                	17                	17                	15                	17                  	|1.300000          	2.140000          	0.880000          	1.140000          	1.160000            	|25.160000         	25.140000         	23.280000         	23.180000         	22.760000           	|2038.666667       	2038.000000       	576.000000        	572.666667        	558.666667          	|
1_13      	1066ms            	1107ms            	344732ms          	367768ms          	307270ms            	|0.760000          	0.840000          	0.920000          	0.900000          	0.900000            	|13                	14                	12                	13                	12                  	|1.780000          	1.180000          	0.640000          	0.780000          	0.660000            	|28.320000         	27.320000         	25.780000         	26.260000         	25.960000           	|2344.000000       	1510.666667       	659.333333        	875.333333        	865.333333          	|
1_14      	1106ms            	1145ms            	311386ms          	310117ms          	315436ms            	|0.680000          	0.780000          	0.860000          	0.860000          	0.900000            	|11                	8                 	9                 	11                	10                  	|1.800000          	1.220000          	0.860000          	0.900000          	0.600000            	|24.720000         	24.320000         	23.260000         	22.900000         	23.240000           	|3024.000000       	2010.666667       	1175.333333       	1163.333333       	774.666667          	|
1_15      	1205ms            	1091ms            	315570ms          	311566ms          	315991ms            	|0.800000          	0.760000          	0.880000          	0.860000          	0.860000            	|9                 	14                	12                	12                	7                   	|1.060000          	1.760000          	0.760000          	1.040000          	0.500000            	|23.480000         	23.280000         	22.940000         	22.400000         	21.940000           	|1782.666667       	2176.000000       	964.666667        	1146.666667       	1131.333333         	|
1_16      	1199ms            	1204ms            	379893ms          	379229ms          	393355ms            	|0.780000          	0.820000          	0.900000          	0.880000          	0.920000            	|12                	12                	11                	8                 	12                  	|1.260000          	1.120000          	0.640000          	0.480000          	0.680000            	|23.360000         	23.080000         	22.400000         	22.040000         	22.100000           	|1978.666667       	1569.333333       	746.666667        	934.666667        	536.666667          	|
1_17      	1294ms            	1144ms            	323348ms          	325078ms          	288111ms            	|0.760000          	0.800000          	0.880000          	0.860000          	0.880000            	|14                	15                	11                	13                	11                  	|2.100000          	1.580000          	0.700000          	0.980000          	0.920000            	|25.040000         	26.500000         	23.780000         	24.100000         	24.480000           	|2234.666667       	1883.333333       	992.666667        	1203.333333       	1016.000000         	|
1_18      	1218ms            	1009ms            	292958ms          	315089ms          	255098ms            	|0.640000          	0.660000          	0.740000          	0.740000          	0.760000            	|20                	20                	19                	19                	23                  	|4.340000          	3.160000          	2.320000          	3.120000          	3.220000            	|29.720000         	30.100000         	28.140000         	28.380000         	28.680000           	|3590.666667       	3403.333333       	2538.000000       	2546.000000       	2356.000000         	|
1_19      	1109ms            	1108ms            	302785ms          	300698ms          	312058ms            	|0.820000          	0.760000          	0.880000          	0.880000          	0.880000            	|9                 	9                 	8                 	6                 	7                   	|1.120000          	1.280000          	0.540000          	0.480000          	0.460000            	|21.940000         	21.900000         	20.980000         	20.780000         	20.740000           	|1531.333333       	2130.000000       	899.333333        	892.666667        	891.333333          	|
2_0       	839ms             	1051ms            	345281ms          	367734ms          	314498ms            	|0.800000          	0.900000          	0.940000          	0.920000          	0.900000            	|9                 	7                 	7                 	9                 	8                   	|1.040000          	0.620000          	0.220000          	0.480000          	0.540000            	|22.300000         	23.000000         	22.040000         	22.400000         	21.660000           	|1743.333333       	766.666667        	334.666667        	546.666667        	722.000000          	|
2_1       	911ms             	1122ms            	359529ms          	403474ms          	301683ms            	|0.660000          	0.800000          	0.840000          	0.820000          	0.840000            	|9                 	8                 	9                 	10                	9                   	|1.680000          	0.960000          	0.760000          	0.960000          	0.840000            	|26.040000         	26.800000         	25.600000         	26.100000         	24.320000           	|3268.000000       	1893.333333       	1453.333333       	1670.000000       	1410.666667         	|
2_2       	916ms             	1035ms            	338496ms          	344375ms          	303539ms            	|0.780000          	0.840000          	0.940000          	0.920000          	0.920000            	|7                 	8                 	7                 	8                 	6                   	|0.880000          	0.860000          	0.380000          	0.380000          	0.300000            	|22.440000         	23.040000         	22.060000         	21.920000         	21.140000           	|1948.000000       	1368.000000       	335.333333        	530.666667        	504.666667          	|
2_3       	941ms             	1000ms            	343004ms          	360670ms          	301822ms            	|0.780000          	0.800000          	0.920000          	0.860000          	0.900000            	|11                	8                 	7                 	8                 	8                   	|1.000000          	1.020000          	0.380000          	0.580000          	0.440000            	|22.180000         	23.300000         	22.220000         	21.120000         	22.100000           	|1939.333333       	1776.666667       	540.666667        	1104.000000       	736.666667          	|
2_4       	868ms             	989ms             	326437ms          	346197ms          	280486ms            	|0.720000          	0.760000          	0.900000          	0.900000          	0.900000            	|16                	14                	14                	12                	12                  	|1.640000          	1.280000          	0.580000          	0.680000          	0.800000            	|24.440000         	27.020000         	25.560000         	25.120000         	25.560000           	|2614.666667       	2300.666667       	852.000000        	837.333333        	852.000000          	|
2_5       	865ms             	2060ms            	325326ms          	346105ms          	275242ms            	|0.740000          	0.800000          	0.900000          	0.880000          	0.900000            	|14                	10                	8                 	10                	10                  	|1.620000          	1.120000          	0.580000          	0.680000          	0.740000            	|26.800000         	28.340000         	25.340000         	25.840000         	25.580000           	|2493.333333       	1944.666667       	844.666667        	1061.333333       	852.666667          	|
2_6       	942ms             	2283ms            	306757ms          	302820ms          	332459ms            	|0.860000          	0.900000          	0.960000          	0.960000          	0.960000            	|6                 	6                 	3                 	4                 	8                   	|0.540000          	0.320000          	0.100000          	0.120000          	0.220000            	|20.940000         	21.340000         	20.120000         	20.280000         	21.380000           	|1098.000000       	711.333333        	70.666667         	76.000000         	112.666667          	|
2_7       	912ms             	1826ms            	320959ms          	335671ms          	291810ms            	|0.680000          	0.620000          	0.800000          	0.800000          	0.800000            	|13                	15                	12                	12                	14                  	|2.420000          	2.780000          	1.300000          	1.480000          	1.560000            	|24.620000         	25.580000         	23.920000         	24.280000         	23.640000           	|3020.666667       	3652.666667       	1797.333333       	1809.333333       	1788.000000         	|
2_8       	934ms             	1728ms            	334183ms          	344503ms          	286862ms            	|0.740000          	0.780000          	0.900000          	0.880000          	0.920000            	|9                 	10                	8                 	10                	10                  	|1.120000          	1.200000          	0.540000          	0.700000          	0.380000            	|23.680000         	24.880000         	22.700000         	22.880000         	23.540000           	|2389.333333       	2029.333333       	756.666667        	962.666667        	584.666667          	|
2_9       	953ms             	1573ms            	338773ms          	356103ms          	293233ms            	|0.700000          	0.720000          	0.860000          	0.820000          	0.860000            	|11                	10                	10                	10                	8                   	|1.880000          	1.520000          	0.840000          	1.160000          	0.580000            	|25.200000         	25.540000         	24.100000         	23.560000         	24.700000           	|2840.000000       	2651.333333       	1203.333333       	1585.333333       	1223.333333         	|
2_10      	1040ms            	1673ms            	349680ms          	379518ms          	311374ms            	|0.800000          	0.840000          	0.940000          	0.940000          	0.960000            	|8                 	6                 	7                 	6                 	7                   	|0.860000          	0.520000          	0.340000          	0.280000          	0.200000            	|22.720000         	23.360000         	22.020000         	21.880000         	22.240000           	|1757.333333       	1378.666667       	334.000000        	329.333333        	141.333333          	|
