************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    20
engine_to_start      30
steps                502
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
algorithm compare
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
datafile  	time_cost                                                                                           	|ontime_proportion                                                                                   	|max_delay                                                                                           	|avg_delay                                                                                           	|avg_flowtime                                                                                        	|object_function_value                                                                               	|
          	RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|
3_1       	1884ms            	1114ms            	336677ms          	335769ms          	330010ms            	|0.920000          	0.960000          	1.000000          	1.000000          	1.000000            	|2                 	4                 	0                 	0                 	0                   	|0.100000          	0.140000          	0.000000          	0.000000          	0.000000            	|18.380000         	18.580000         	17.740000         	17.780000         	17.960000           	|412.666667        	19.333333         	-408.666667       	-407.333333       	-401.333333         	|
3_2       	1488ms            	925ms             	311871ms          	334750ms          	272487ms            	|0.880000          	0.920000          	1.000000          	1.000000          	1.000000            	|6                 	3                 	0                 	0                 	0                   	|0.380000          	0.160000          	0.000000          	0.000000          	0.000000            	|22.080000         	22.120000         	21.380000         	21.620000         	21.560000           	|936.000000        	537.333333        	-287.333333       	-279.333333       	-281.333333         	|
3_3       	1765ms            	992ms             	341493ms          	378163ms          	315473ms            	|0.900000          	0.840000          	0.980000          	0.960000          	0.960000            	|7                 	8                 	4                 	5                 	5                   	|0.460000          	0.820000          	0.080000          	0.200000          	0.140000            	|20.760000         	20.820000         	19.520000         	19.780000         	19.700000           	|692.000000        	1294.000000       	-149.333333       	59.333333         	56.666667           	|
3_4       	905ms             	866ms             	319729ms          	344722ms          	303176ms            	|0.780000          	0.880000          	0.980000          	0.960000          	0.960000            	|7                 	5                 	3                 	4                 	6                   	|0.720000          	0.300000          	0.060000          	0.120000          	0.140000            	|22.140000         	21.820000         	21.240000         	21.240000         	21.580000           	|1938.000000       	927.333333        	-92.000000        	108.000000        	119.333333          	|
3_5       	919ms             	986ms             	315707ms          	332576ms          	306473ms            	|0.940000          	0.940000          	1.000000          	1.000000          	1.000000            	|6                 	2                 	0                 	0                 	0                   	|0.240000          	0.080000          	0.000000          	0.000000          	0.000000            	|20.460000         	21.040000         	20.180000         	19.400000         	19.680000           	|282.000000        	301.333333        	-327.333333       	-353.333333       	-344.000000         	|
3_6       	738ms             	754ms             	308714ms          	316287ms          	291822ms            	|0.960000          	0.940000          	1.000000          	1.000000          	1.000000            	|2                 	4                 	0                 	0                 	0                   	|0.080000          	0.140000          	0.000000          	0.000000          	0.000000            	|19.600000         	19.740000         	18.560000         	18.680000         	18.880000           	|53.333333         	258.000000        	-381.333333       	-377.333333       	-370.666667         	|
3_7       	746ms             	843ms             	301285ms          	308894ms          	259246ms            	|0.780000          	0.860000          	0.940000          	0.920000          	0.940000            	|9                 	9                 	6                 	10                	3                   	|1.240000          	0.720000          	0.300000          	0.520000          	0.120000            	|24.760000         	24.360000         	23.600000         	22.800000         	23.220000           	|2025.333333       	1212.000000       	386.666667        	560.000000        	374.000000          	|
3_8       	977ms             	934ms             	361476ms          	379033ms          	312889ms            	|0.840000          	0.900000          	1.000000          	1.000000          	1.000000            	|5                 	4                 	0                 	0                 	0                   	|0.520000          	0.220000          	0.000000          	0.000000          	0.000000            	|20.200000         	20.120000         	19.220000         	18.380000         	18.480000           	|1273.333333       	670.666667        	-359.333333       	-387.333333       	-384.000000         	|
3_9       	829ms             	855ms             	331342ms          	364837ms          	294144ms            	|0.920000          	0.920000          	1.000000          	1.000000          	1.000000            	|6                 	2                 	0                 	0                 	0                   	|0.300000          	0.100000          	0.000000          	0.000000          	0.000000            	|21.680000         	21.860000         	20.500000         	20.720000         	20.880000           	|522.666667        	528.666667        	-316.666667       	-309.333333       	-304.000000         	|
3_10      	923ms             	2874ms            	338397ms          	332195ms          	340492ms            	|0.860000          	0.780000          	0.960000          	0.960000          	0.980000            	|5                 	6                 	5                 	3                 	3                   	|0.420000          	0.700000          	0.180000          	0.080000          	0.060000            	|19.880000         	20.660000         	19.600000         	19.200000         	19.460000           	|1062.666667       	1888.666667       	53.333333         	40.000000         	-151.333333         	|
3_11      	816ms             	1922ms            	316898ms          	339953ms          	259760ms            	|0.840000          	0.920000          	0.980000          	0.960000          	0.980000            	|6                 	6                 	3                 	6                 	2                   	|0.680000          	0.320000          	0.060000          	0.160000          	0.040000            	|22.600000         	22.560000         	21.540000         	21.720000         	21.860000           	|1353.333333       	552.000000        	-82.000000        	124.000000        	-71.333333          	|
3_12      	903ms             	1871ms            	349167ms          	358364ms          	277070ms            	|0.880000          	0.820000          	1.000000          	1.000000          	1.000000            	|5                 	5                 	0                 	0                 	0                   	|0.380000          	0.580000          	0.000000          	0.000000          	0.000000            	|23.060000         	23.920000         	21.640000         	22.380000         	22.300000           	|968.666667        	1597.333333       	-278.666667       	-254.000000       	-256.666667         	|
3_13      	827ms             	1743ms            	316575ms          	336649ms          	268193ms            	|0.860000          	0.840000          	1.000000          	1.000000          	1.000000            	|7                 	4                 	0                 	0                 	0                   	|0.400000          	0.400000          	0.000000          	0.000000          	0.000000            	|21.980000         	22.400000         	21.740000         	21.020000         	21.240000           	|1132.666667       	1346.666667       	-275.333333       	-299.333333       	-292.000000         	|
3_14      	892ms             	1930ms            	304365ms          	326858ms          	249433ms            	|0.920000          	0.900000          	1.000000          	1.000000          	1.000000            	|7                 	5                 	0                 	0                 	0                   	|0.340000          	0.240000          	0.000000          	0.000000          	0.000000            	|22.800000         	22.520000         	22.140000         	22.240000         	22.600000           	|560.000000        	750.666667        	-262.000000       	-258.666667       	-246.666667         	|
3_15      	908ms             	2076ms            	305888ms          	324458ms          	241524ms            	|0.760000          	0.800000          	0.980000          	0.920000          	0.960000            	|8                 	7                 	3                 	7                 	6                   	|0.900000          	0.760000          	0.060000          	0.360000          	0.140000            	|24.160000         	25.040000         	22.100000         	22.440000         	22.980000           	|2205.333333       	1834.666667       	-63.333333        	548.000000        	166.000000          	|
3_16      	1124ms            	2232ms            	308438ms          	315666ms          	282022ms            	|0.920000          	0.960000          	1.000000          	0.980000          	1.000000            	|5                 	3                 	0                 	3                 	0                   	|0.200000          	0.100000          	0.000000          	0.060000          	0.000000            	|20.180000         	19.940000         	19.800000         	19.420000         	20.440000           	|472.666667        	64.666667         	-340.000000       	-152.666667       	-318.666667         	|
3_17      	1072ms            	1968ms            	312590ms          	342167ms          	256471ms            	|0.840000          	0.880000          	0.980000          	0.960000          	1.000000            	|4                 	5                 	1                 	2                 	0                   	|0.380000          	0.420000          	0.020000          	0.060000          	0.000000            	|22.420000         	21.880000         	20.900000         	20.980000         	21.200000           	|1347.333333       	929.333333        	-103.333333       	99.333333         	-293.333333         	|
3_18      	1073ms            	2148ms            	312688ms          	326100ms          	276430ms            	|0.900000          	0.900000          	1.000000          	0.980000          	1.000000            	|3                 	6                 	0                 	2                 	0                   	|0.160000          	0.320000          	0.000000          	0.040000          	0.000000            	|20.460000         	20.540000         	20.080000         	19.780000         	20.340000           	|682.000000        	684.666667        	-330.666667       	-140.666667       	-322.000000         	|
3_19      	1135ms            	1458ms            	298050ms          	310969ms          	246943ms            	|0.840000          	0.880000          	0.980000          	0.980000          	0.980000            	|9                 	7                 	6                 	6                 	4                   	|0.740000          	0.440000          	0.120000          	0.120000          	0.080000            	|22.720000         	22.720000         	21.180000         	21.460000         	21.520000           	|1357.333333       	957.333333        	-94.000000        	-84.666667        	-82.666667          	|
4_0       	1215ms            	1421ms            	340236ms          	343071ms          	320991ms            	|0.880000          	0.860000          	0.960000          	0.960000          	0.960000            	|11                	11                	5                 	8                 	8                   	|0.860000          	0.780000          	0.160000          	0.280000          	0.320000            	|21.140000         	21.820000         	20.260000         	20.460000         	19.180000           	|904.666667        	1127.333333       	75.333333         	82.000000         	39.333333           	|
4_1       	1222ms            	1239ms            	329470ms          	334968ms          	282032ms            	|0.780000          	0.740000          	0.880000          	0.880000          	0.880000            	|11                	11                	10                	10                	10                  	|1.540000          	1.040000          	0.700000          	0.960000          	0.700000            	|22.260000         	22.580000         	21.000000         	20.940000         	20.540000           	|1942.000000       	2352.666667       	900.000000        	898.000000        	884.666667          	|
4_2       	1132ms            	1111ms            	322062ms          	338719ms          	272332ms            	|0.860000          	0.800000          	0.960000          	0.960000          	0.960000            	|11                	8                 	6                 	11                	6                   	|0.940000          	0.820000          	0.160000          	0.260000          	0.220000            	|22.760000         	23.140000         	22.080000         	21.700000         	21.520000           	|1158.666667       	1771.333333       	136.000000        	123.333333        	117.333333          	|
4_3       	1096ms            	1071ms            	328745ms          	350983ms          	284436ms            	|0.800000          	0.840000          	0.900000          	0.900000          	0.960000            	|16                	15                	13                	16                	15                  	|1.880000          	1.400000          	0.760000          	1.040000          	0.540000            	|23.280000         	24.020000         	22.440000         	22.440000         	21.160000           	|1776.000000       	1400.666667       	748.000000        	748.000000        	105.333333          	|
4_4       	1006ms            	971ms             	328375ms          	338808ms          	280947ms            	|0.920000          	0.880000          	1.000000          	1.000000          	1.000000            	|8                 	4                 	0                 	0                 	0                   	|0.500000          	0.280000          	0.000000          	0.000000          	0.000000            	|21.560000         	21.320000         	20.660000         	20.900000         	20.320000           	|518.666667        	910.666667        	-311.333333       	-303.333333       	-322.666667         	|
4_5       	925ms             	937ms             	337407ms          	297179ms          	253263ms            	|0.800000          	0.800000          	0.920000          	0.900000          	0.920000            	|9                 	11                	8                 	7                 	8                   	|0.960000          	1.300000          	0.360000          	0.420000          	0.340000            	|24.500000         	24.880000         	22.540000         	23.120000         	23.500000           	|1816.666667       	1829.333333       	551.333333        	770.666667        	583.333333          	|
4_6       	1057ms            	1032ms            	305389ms          	254122ms          	273960ms            	|0.840000          	0.840000          	0.940000          	0.960000          	0.960000            	|12                	8                 	8                 	7                 	5                   	|0.980000          	0.680000          	0.240000          	0.260000          	0.200000            	|22.280000         	22.600000         	21.160000         	21.940000         	21.240000           	|1342.666667       	1353.333333       	305.333333        	131.333333        	108.000000          	|
4_7       	949ms             	995ms             	314265ms          	261095ms          	266141ms            	|0.760000          	0.760000          	0.840000          	0.860000          	0.880000            	|11                	12                	12                	12                	16                  	|1.360000          	1.220000          	1.260000          	1.040000          	1.240000            	|23.920000         	24.140000         	22.600000         	22.460000         	22.640000           	|2197.333333       	2204.666667       	1353.333333       	1148.666667       	954.666667          	|
4_8       	1030ms            	1061ms            	327785ms          	272852ms          	288864ms            	|0.740000          	0.800000          	0.860000          	0.860000          	0.840000            	|12                	12                	11                	10                	12                  	|1.820000          	1.220000          	0.840000          	0.860000          	1.080000            	|23.640000         	23.160000         	22.000000         	22.460000         	22.180000           	|2388.000000       	1772.000000       	1133.333333       	1148.666667       	1339.333333         	|
4_9       	932ms             	946ms             	249965ms          	257916ms          	263163ms            	|0.780000          	0.800000          	0.920000          	0.920000          	0.920000            	|10                	9                 	8                 	8                 	7                   	|0.920000          	0.980000          	0.340000          	0.320000          	0.220000            	|22.920000         	23.540000         	22.240000         	21.340000         	21.780000           	|1964.000000       	1784.666667       	541.333333        	511.333333        	526.000000          	|
4_10      	1065ms            	1113ms            	277577ms          	274783ms          	320682ms            	|0.840000          	0.840000          	0.960000          	0.940000          	0.920000            	|9                 	9                 	8                 	5                 	9                   	|0.800000          	0.660000          	0.260000          	0.220000          	0.480000            	|21.460000         	22.420000         	20.060000         	20.720000         	21.140000           	|1315.333333       	1347.333333       	68.666667         	290.666667        	504.666667          	|
4_11      	1248ms            	1244ms            	275377ms          	271350ms          	311602ms            	|0.760000          	0.820000          	0.920000          	0.900000          	0.920000            	|14                	14                	12                	11                	10                  	|2.100000          	1.520000          	0.640000          	0.740000          	0.560000            	|22.660000         	23.680000         	21.280000         	21.360000         	20.240000           	|2155.333333       	1589.333333       	509.333333        	712.000000        	474.666667          	|
4_12      	1249ms            	1080ms            	263739ms          	294845ms          	264518ms            	|0.940000          	0.860000          	1.000000          	0.980000          	0.980000            	|6                 	3                 	0                 	1                 	3                   	|0.220000          	0.280000          	0.000000          	0.020000          	0.060000            	|21.180000         	22.160000         	20.380000         	20.020000         	19.620000           	|306.000000        	1138.666667       	-320.666667       	-132.666667       	-146.000000         	|
4_13      	1452ms            	1134ms            	264065ms          	286561ms          	271177ms            	|0.820000          	0.840000          	0.900000          	0.900000          	0.920000            	|10                	11                	9                 	11                	11                  	|0.940000          	1.180000          	0.560000          	0.580000          	0.580000            	|21.900000         	22.780000         	20.780000         	21.600000         	21.280000           	|1530.000000       	1359.333333       	692.666667        	720.000000        	509.333333          	|
4_14      	883ms             	1070ms            	267068ms          	291499ms          	271460ms            	|0.740000          	0.740000          	0.900000          	0.880000          	0.900000            	|12                	12                	11                	11                	7                   	|1.440000          	1.420000          	0.580000          	0.700000          	0.420000            	|24.760000         	25.780000         	23.900000         	23.640000         	23.560000           	|2425.333333       	2459.333333       	796.666667        	988.000000        	785.333333          	|
4_15      	838ms             	1057ms            	251437ms          	230357ms          	303884ms            	|0.820000          	0.820000          	0.900000          	0.900000          	0.900000            	|14                	14                	13                	14                	9                   	|1.300000          	1.380000          	0.720000          	0.980000          	0.660000            	|22.280000         	22.700000         	21.720000         	20.700000         	20.920000           	|1542.666667       	1556.666667       	724.000000        	690.000000        	697.333333          	|
4_16      	782ms             	952ms             	249904ms          	213711ms          	262357ms            	|0.840000          	0.820000          	0.920000          	0.900000          	0.920000            	|7                 	8                 	5                 	7                 	8                   	|0.660000          	0.600000          	0.280000          	0.460000          	0.520000            	|22.080000         	23.500000         	21.540000         	21.480000         	21.920000           	|1336.000000       	1583.333333       	518.000000        	716.000000        	530.666667          	|
4_17      	854ms             	1001ms            	262073ms          	237626ms          	253814ms            	|0.820000          	0.820000          	0.920000          	0.920000          	0.940000            	|9                 	6                 	6                 	6                 	6                   	|0.960000          	0.580000          	0.340000          	0.320000          	0.340000            	|25.100000         	24.600000         	23.040000         	23.120000         	23.400000           	|1636.666667       	1620.000000       	568.000000        	570.666667        	380.000000          	|
4_18      	897ms             	1065ms            	268703ms          	229186ms          	280234ms            	|0.780000          	0.840000          	0.960000          	0.920000          	0.940000            	|7                 	6                 	3                 	6                 	7                   	|0.840000          	0.600000          	0.120000          	0.320000          	0.320000            	|21.880000         	21.480000         	21.020000         	20.500000         	20.460000           	|1929.333333       	1316.000000       	100.666667        	483.333333        	282.000000          	|
4_19      	728ms             	1199ms            	256941ms          	233028ms          	255844ms            	|0.740000          	0.760000          	0.880000          	0.840000          	0.860000            	|12                	12                	11                	10                	7                   	|1.640000          	1.260000          	0.760000          	0.820000          	0.620000            	|26.220000         	25.540000         	24.800000         	23.920000         	24.100000           	|2474.000000       	2251.333333       	1026.666667       	1397.333333       	1203.333333         	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
avg       	1103.94           	1243.33           	322218.11         	332393.59         	292959.77           	|0.7906            	0.8106            	0.9182            	0.908             	0.9178              	|10.02             	9.5               	7.44              	8.2               	7.85                	|1.2384            	1.03              	0.4892            	0.5878            	0.5254              	|23.577            	24.019            	22.4478           	22.479            	22.4736             	|1879.90000001     	1694.63333335     	566.26000002      	669.3             	571.11999999        	|
max       	2118.0            	2874.0            	532902.0          	575724.0          	413672.0            	|0.96              	0.96              	1.0               	1.0               	1.0                 	|20.0              	20.0              	19.0              	20.0              	23.0                	|4.34              	3.16              	2.32              	3.12              	3.22                	|29.72             	30.1              	28.14             	28.38             	28.68               	|3764.0            	3652.666667       	2538.0            	2546.0            	2356.0              	|
min       	728.0             	743.0             	249904.0          	213711.0          	241524.0            	|0.62              	0.62              	0.74              	0.74              	0.76                	|2.0               	2.0               	0.0               	0.0               	0.0                 	|0.08              	0.08              	0.0               	0.0               	0.0                 	|18.38             	18.58             	17.74             	17.78             	17.96               	|53.333333         	19.333333         	-408.666667       	-407.333333       	-401.333333         	|
************************************************************************************************************************************************************************************************************************************************************************************************************
